"ResultsId","ExpId","1-Finished","1-FinishGain","1-MaxDuration","1-PotentialGain","1-RequiredAccuracy","1-StartGain","2-Finished","2-FinishGain","2-MaxDuration","2-PotentialGain","2-RequiredAccuracy","2-StartGain","3-1-1-Block","3-1-1-Brightness","3-1-1-CorrectResponse","3-1-1-IsCorrect","3-1-1-Order","3-1-1-Response","3-1-1-StartCorrect","3-1-1-StartDuration","3-1-1-Time","3-1-2-Block","3-1-2-Brightness","3-1-2-CorrectResponse","3-1-2-IsCorrect","3-1-2-Order","3-1-2-Response","3-1-2-StartCorrect","3-1-2-StartDuration","3-1-2-Time","3-1-3-Block","3-1-3-Brightness","3-1-3-CorrectResponse","3-1-3-IsCorrect","3-1-3-Order","3-1-3-Response","3-1-3-StartCorrect","3-1-3-StartDuration","3-1-3-Time","3-1-4-Block","3-1-4-Brightness","3-1-4-CorrectResponse","3-1-4-IsCorrect","3-1-4-Order","3-1-4-Response","3-1-4-StartCorrect","3-1-4-StartDuration","3-1-4-Time","3-1-5-Block","3-1-5-Brightness","3-1-5-CorrectResponse","3-1-5-IsCorrect","3-1-5-Order","3-1-5-Response","3-1-5-StartCorrect","3-1-5-StartDuration","3-1-5-Time","3-1-6-Block","3-1-6-Brightness","3-1-6-CorrectResponse","3-1-6-IsCorrect","3-1-6-Order","3-1-6-Response","3-1-6-StartCorrect","3-1-6-StartDuration","3-1-6-Time","3-1-7-Block","3-1-7-Brightness","3-1-7-CorrectResponse","3-1-7-IsCorrect","3-1-7-Order","3-1-7-Response","3-1-7-StartCorrect","3-1-7-StartDuration","3-1-7-Time","3-1-8-Block","3-1-8-Brightness","3-1-8-CorrectResponse","3-1-8-IsCorrect","3-1-8-Order","3-1-8-Response","3-1-8-StartCorrect","3-1-8-StartDuration","3-1-8-Time","3-Finished","3-FinishGain","3-MaxDuration","3-PotentialGain","3-RequiredAccuracy","3-StartGain","4-Finished","4-MaxDuration","4-PotentialGain","4-RequiredAccuracy","4-StartGain","age","blockorder","condition","country","finished","gainfinish","gainstart","gender","source","stage","started","Stats-Blank-Average","Stats-Blank-Max","Stats-Blank-Min","Stats-Blank-Stdev","subjectid","Tag","UserAgent","WindowSize","UpdatedIP","CreatedIP","Updated","Created",
"11035","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","2","2","0","479.7430000035092","547","3","0.44","2","1","7","2","4","3583.958999981405","501","3","0.46","2","0","1","1","0","0","474","3","0.48","2","1","6","2","3","3000.3229999856558","579","3","0.52","1","0","3","2","1","1028.8130000117235","643","3","0.54","1","0","8","2","5","4098.276999982772","564","3","0.56","1","1","5","1","2","2279.0319999912754","714","3","0.68","1","1","4","1","1","1681.0589999950025","591","1","0","0","0","0","0","0","0","0","0","0","34","[1,2,3,4]","2","USA","1","0","0","female","mturk","1","1","515.08","517.14","513.79","1.23","1133","Study 4b","Mozilla/5.0 (X11; CrOS armv7l 10176.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36","","71.112.137.114","71.112.137.114","07-03-2018 20:29:09","07-03-2018 20:27:42",
"11040","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","1","2","0","0","676","3","0.44","2","1","5","2","3","2381.4849983900785","574","3","0.46","2","1","4","2","2","1748.6029984429479","622","3","0.48","2","1","6","2","4","2964.4219987094402","595","3","0.52","1","0","8","2","6","4230.276998132467","612","3","0.54","1","1","7","1","5","3564.0359986573458","658","3","0.56","1","0","3","2","2","1199.1449985653162","546","3","0.68","1","1","2","1","1","682.9269994050264","506","1","0","0","0","0","0","0","0","0","0","0","30","[1,2,3,4]","1","USA","1","0","0","male","mturk","1","1","515.89","515.99","515.66","0.11","1134","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.119 Safari/537.36","","184.21.134.178","184.21.134.178","07-03-2018 20:33:12","07-03-2018 20:32:16",
"11049","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","0","3","1","2","1282.675999973435","580","3","0.44","2","0","4","1","2","1865.6620000256225","742","3","0.46","2","1","6","2","3","3448.43500002753","919","3","0.48","2","1","7","2","4","4381.261000002269","743","3","0.52","1","1","1","1","0","0","741","3","0.54","1","1","2","1","1","749.5769999804907","517","3","0.56","1","1","8","1","5","5130.98399998853","709","3","0.68","1","1","5","1","2","2615.2790000196546","822","1","0","0","0","0","0","0","0","0","0","0","32","[1,2,3,4]","2","USA","1","0","0","female","mturk","1","1","514.49","516.59","500.25","5.38","1135","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","73.168.146.176","73.168.146.176","07-03-2018 20:43:34","07-03-2018 20:40:42",
"11060","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","2","2","1","699.9780000041937","600","3","0.44","2","1","4","2","3","1849.6670000167796","496","3","0.46","2","1","8","2","5","3932.6600000058534","720","3","0.48","2","0","7","1","5","3349.448000008124","576","3","0.52","1","1","3","1","2","1299.7040000045672","551","3","0.54","1","0","6","2","5","2832.9150000063237","517","3","0.56","1","1","1","1","0","0","701","3","0.68","1","1","5","1","4","2349.6220000088215","474","1","0","0","0","0","0","0","0","0","0","0","41","[1,2,3,4]","1","USA","1","0","0","female","mturk","1","1","516.52","516.59","516.43","0.05","1136","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","68.59.26.228","68.59.26.228","07-03-2018 21:09:14","07-03-2018 21:06:02",
"11065","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","6","2","3","4083.1280001439154","503","3","0.44","2","0","2","1","1","1133.2010000478476","985","3","0.46","2","1","8","2","5","5183.052999898791","530","3","0.48","2","0","3","1","1","2116.514000110328","610","3","0.52","1","1","4","1","1","2733.2020001485944","703","3","0.54","1","1","5","1","2","3449.8600002843887","634","3","0.56","1","1","1","1","0","0","1128","3","0.68","1","1","7","1","4","4599.73799996078","578","1","0","0","0","0","0","0","0","0","0","0","24","[1,2,3,4]","1","usa","1","0","0","male","mturk","1","1","506.26","516.63","500","8.03","1137","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","75.141.186.21","75.141.186.21","07-03-2018 21:26:41","07-03-2018 21:25:20",
"11071","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","7","2","5","3533.464000094682","644","3","0.44","2","1","3","2","2","1200.0380004756153","677","3","0.46","2","0","8","1","6","4183.333000168204","577","3","0.48","2","1","1","2","0","0","704","3","0.52","1","0","4","2","3","1883.39600013569","521","3","0.54","1","1","6","1","4","3000.101000070572","522","3","0.56","1","1","5","1","3","2416.7080000042915","580","3","0.68","1","1","2","1","1","716.6510000824928","482","1","0","0","0","0","0","0","0","0","0","0","39","[1,2,3,4]","2","USA","1","0","0","male","mturk","1","1","504.23","516.66","500.07","7.14","1140","Study 4b","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","74.133.14.117","74.133.14.117","07-03-2018 23:52:54","07-03-2018 23:51:51",
"11076","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","0","4","1","1","1816.5939999744296","555","3","0.44","2","0","8","1","3","4066.5039999294095","409","3","0.46","2","1","7","2","2","3566.523999965284","503","3","0.48","2","1","5","2","1","2366.571999969892","557","3","0.52","1","0","6","2","2","2916.549999965355","659","3","0.54","1","0","3","2","1","1033.2919999491423","788","3","0.56","1","0","2","2","1","499.97999996412545","532","3","0.68","1","1","1","1","0","0","497","1","0","0","0","0","0","0","0","0","0","0","55","[1,2,3,4]","1","us","1","0","0","female","mturk","1","1","516.65","516.65","516.65","0","1142","Study 4b","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","68.118.97.236","68.118.97.236","08-03-2018 02:11:53","08-03-2018 02:07:23",
"11081","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","6","2","4","3959.69698510586","481","3","0.44","2","1","5","2","3","3108.3904803152036","838","3","0.46","2","0","4","1","3","2657.9445555919883","442","3","0.48","2","1","8","2","5","4912.837921164952","1366","3","0.52","1","0","7","2","5","4445.508577453693","459","3","0.54","1","1","1","1","0","0","1678","3","0.56","1","1","2","1","1","1684.834468090332","551","3","0.68","1","1","3","1","2","2240.0424562184853","413","1","0","0","0","0","0","0","0","0","0","0","","[1,2,3,4]","2","Australia","1","0","0","female","firstyear","1","1","502.51","516.5","500.32","5.29","1143","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","","10.16.97.54","10.16.97.54","08-03-2018 11:27:12","08-03-2018 11:25:51",
"11084","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","2","2","1","784.0587164328317","808","3","0.44","2","1","4","2","3","2570.958569437178","689","3","0.46","2","1","3","2","2","1601.5710707887774","965","3","0.48","2","0","8","1","6","6258.410167539958","1036","3","0.52","1","0","6","2","5","3855.9007209508272","946","3","0.54","1","1","7","1","5","4806.7717359221715","1441","3","0.56","1","1","1","1","0","0","779","3","0.68","1","1","5","1","4","3271.6716298398387","572","1","0","0","0","0","0","0","0","0","0","0","23","[1,2,3,4]","1","Australia","1","0","0","male","firstyear","1","1","500.64","500.84","500.47","0.13","1144","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","","10.16.97.79","10.16.97.79","08-03-2018 11:36:27","08-03-2018 11:33:52",
"11085","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","-1","1","-1","0","0","-1","3","0.44","2","1","2","2","0","3002.928216610875","718","3","0.46","2","1","5","2","2","4910.927858912561","521","3","0.48","2","1","7","2","3","5946.701781887023","490","3","0.52","1","0","6","2","3","5445.996905792665","497","3","0.54","1","0","3","2","1","3725.0451360334846","607","3","0.56","1","1","8","1","4","6447.541963798838","756","3","0.68","1","1","4","1","1","4343.548484194929","563","1","0","0","0","0","0","0","0","0","0","0","17","[1,2,3,4]","1","Australia","1","0","0","female","firstyear","1","1","500.44","500.61","500.12","0.14","1145","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063","","10.16.96.245","10.16.96.245","08-03-2018 11:35:43","08-03-2018 11:34:26",
"11096","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","5","2","3","3413.4879987686872","668","3","0.44","2","0","6","1","4","4096.44999820739","584","3","0.46","2","1","3","2","2","1981.424999423325","751","3","0.48","2","0","8","1","5","5495.342998765409","901","3","0.52","1","0","4","2","3","2747.3179986700416","652","3","0.54","1","1","2","1","1","1049.0330001339316","917","3","0.56","1","1","7","1","4","4696.006998419762","784","3","0.68","1","1","1","1","0","0","1034","1","0","0","0","0","0","0","0","0","0","0","42","[1,2,3,4]","2","United States of America","1","0","0","male","mturk","1","1","514.17","516.39","500.18","5.29","1146","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","108.40.121.37","108.40.121.37","09-03-2018 09:05:11","09-03-2018 09:04:08",
"11097","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","3","2","0","1366.6659999871626","696","3","0.44","2","0","4","1","1","2066.6769999661483","658","3","0.46","2","0","2","1","0","766.667999967467","602","3","0.48","2","1","6","2","2","3449.9669998767786","664","3","0.52","1","1","5","1","1","2733.3239999134094","703","3","0.54","1","0","8","2","4","4683.303999889176","533","3","0.56","1","0","1","2","0","0","753","3","0.68","1","1","7","1","3","4116.637999890372","557","1","0","0","0","0","0","0","0","0","0","0","39","[1,2,3,4]","1","USA","1","0","0","female","mturk","1","1","506.27","516.67","500.01","8.04","1147","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","68.224.162.219","68.224.162.219","09-03-2018 09:06:22","09-03-2018 09:04:55",
"11100","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","5","2","1","5033.131999894977","613","3","0.44","2","1","7","2","3","6266.415999736637","560","3","0.46","2","0","8","1","4","6833.05999962613","393","3","0.48","2","1","6","2","2","5649.773999815807","608","3","0.52","1","-1","1","-1","0","0","-1","3","0.54","1","0","4","2","1","4383.157999953255","645","3","0.56","1","0","3","2","1","3766.5159997995943","616","3","0.68","1","1","2","1","0","3016.5459997951984","740","1","0","0","0","0","0","0","0","0","0","0","34","[1,2,3,4]","2","USA","1","0","0","female","mturk","1","1","516.65","516.65","516.65","0","1148","Study 4b","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","76.17.14.55","76.17.14.55","09-03-2018 09:11:21","09-03-2018 09:09:10",
"11101","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","8","2","5","5898.77400000114","716","3","0.44","2","1","5","2","2","3616.0200000740588","680","3","0.46","2","1","6","2","3","4299.0840000566095","825","3","0.48","2","0","2","1","1","1033.1250000745058","737","3","0.52","1","1","7","1","4","5132.318000076339","763","3","0.54","1","1","1","1","0","0","1023","3","0.56","1","0","4","2","2","2466.427000006661","1137","3","0.68","1","1","3","1","1","1783.0730000277981","674","1","0","0","0","0","0","0","0","0","0","0","45","[1,2,3,4]","2","USA","1","0","0","female","mturk","1","1","514.37","516.65","500.3","5.32","1149","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","98.247.142.31","98.247.142.31","09-03-2018 09:13:22","09-03-2018 09:10:49",
"11104","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","6","2","2","4483.214824500668","945","3","0.44","2","1","1","2","0","0","757","3","0.46","2","0","7","1","3","5433.018037714108","1472","3","0.48","2","1","2","2","1","766.6986546541448","702","3","0.52","1","0","5","2","2","3666.5140836734354","803","3","0.54","1","0","3","2","2","1483.3952231352014","937","3","0.56","1","0","4","2","2","2433.4348604240367","1218","3","0.68","1","1","8","1","3","6916.052035630841","824","1","0","0","0","0","0","0","0","0","0","0","55","[1,2,3,4]","1","USA","1","0","0","female","mturk","1","1","500.02","500.02","500.02","0","1150","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0","","47.151.38.124","47.151.38.124","09-03-2018 09:13:18","09-03-2018 09:11:40",
"11108","study6bp","1","0","0","0","0","0","1","0","0","0","0","0","3","0.42","2","1","5","2","3","3226.317000000112","617","3","0.44","2","1","8","2","5","5139.955000000555","672","3","0.46","2","1","3","2","1","1633.3930000000692","839","3","0.48","2","1","6","2","4","3845.225000000486","687","3","0.52","1","0","7","2","5","4534.313000000562","600","3","0.54","1","1","2","1","0","695.2630000000645","935","3","0.56","1","0","1","2","0","0","690","3","0.68","1","1","4","1","2","2474.6150000000926","749","1","0","0","0","0","0","0","0","0","0","0","43","[1,2,3,4]","2","usa","1","0","0","male","mturk","1","1","500.7","502.21","500.07","0.74","1151","Study 4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","73.11.242.150","73.11.242.150","09-03-2018 09:15:04","09-03-2018 09:13:33",
